x,y
-1.296,54.611
-1.277,54.611
-1.053,54.528
-1.287,54.622
-1.058,54.537
-1.068,54.528
-0.952,54.539
-1.291,54.596
-1.355,54.606
-1.573,55.137
-1.604,55.134
-1.650,54.972
-1.551,54.967
-1.668,54.973
-1.558,54.972
-1.688,54.978
-1.571,54.974
-1.598,54.977
-1.624,54.974
-1.468,55.053
-1.585,55.056
-1.715,54.638
-1.685,54.647
-1.659,54.657
-1.685,54.655
-1.740,54.715
-1.686,54.705
-1.226,54.552
-1.248,54.548
-1.252,54.557
-1.201,54.552
-1.183,54.557
-1.264,54.557
-1.241,54.560
-1.225,54.560
-1.258,54.542
-1.215,54.541
-1.580,54.904
-1.483,54.953
-1.569,54.889
-1.429,54.961
-1.588,54.924
-1.369,54.958
-1.806,54.920
-1.485,54.963
-1.571,54.929
-1.446,54.963
-1.746,54.925
-1.510,54.964
-1.658,54.935
-1.463,54.965
-1.600,54.930
-1.406,54.969
-1.663,55.021
-1.411,54.951
-1.625,55.023
-1.464,54.951
-1.597,54.951
-1.595,54.959
-1.392,54.762
-1.315,54.763
-1.340,54.788
-1.332,54.767
-1.362,54.832
-1.395,54.813
-1.366,54.840
-1.338,54.834
-1.349,54.764
-1.347,54.751
-1.074,54.609
-1.090,54.607
-1.216,54.521
-1.065,54.616
-1.196,54.524
-1.244,54.523
-1.260,54.534
-1.051,54.604
-1.072,54.597
-1.776,55.029
-2.229,55.140
-1.747,55.049
-1.733,55.166
-1.688,55.164
-1.593,55.238
-1.653,55.180
-1.529,54.921
-1.375,54.920
-1.583,55.002
-1.395,54.921
-1.653,55.001
-1.420,54.926
-1.611,55.006
-1.450,54.929
-1.630,55.004
-1.375,54.930
-1.647,55.013
-1.387,54.932
-2.464,54.970
-1.687,55.007
-1.441,54.946
-1.864,54.970
-1.673,54.997
-1.523,54.915
-1.577,54.994
-1.451,54.920
-1.249,54.681
-1.542,54.691
-1.614,54.692
-1.430,54.698
-1.582,54.699
-1.375,54.732
-1.600,54.706
-1.292,54.748
-1.422,54.742
-1.553,54.664
-1.452,54.657
-1.546,55.177
-1.581,55.178
-1.517,55.184
-1.563,55.181
-2.222,54.963
-2.107,54.969
-1.851,54.961
-1.562,55.172
-1.592,55.162
-1.164,54.565
-1.445,54.811
-1.467,54.839
-1.454,54.824
-1.481,54.863
-1.494,54.844
-1.497,54.868
-1.405,54.863
-1.740,54.821
-1.679,54.797
-1.816,54.846
-1.860,54.847
-1.712,54.861
-1.832,54.856
-1.744,54.866
-1.687,54.864
-1.568,54.801
-1.586,54.796
-1.558,54.530
-1.530,54.529
-1.583,54.539
-1.567,54.534
-1.551,54.542
-1.528,54.541
-1.548,54.550
-1.525,54.547
-1.570,54.524
-1.587,54.526
-1.220,54.689
-1.226,54.696
-1.210,54.703
-1.246,54.711
-1.220,54.682
-1.233,54.688
-1.526,54.995
-1.539,54.993
-1.460,55.000
-1.502,54.996
-1.550,55.005
-1.499,55.002
-1.470,55.007
-1.527,55.006
-1.426,54.998
-1.434,54.988
-2.007,55.764
-2.022,55.754
-1.594,55.332
-1.908,55.312
-1.630,55.428
-1.708,55.410
-1.874,55.579
-1.536,55.127
-1.720,54.956
-1.552,54.955
-1.787,54.964
-1.755,54.971
-1.612,54.954
-1.634,54.954
-1.699,54.771
-1.634,54.751
-1.574,54.772
-1.593,54.771
-1.526,54.787
-1.550,54.779
-1.635,54.784
-1.497,54.782
-1.527,54.739
-1.499,54.718
-1.553,54.516
-1.475,54.511
-1.539,54.519
-1.527,54.515
-1.200,54.569
-1.230,54.570
-1.242,54.659
-1.194,54.660
-1.224,54.662
-1.237,54.671
-1.217,54.674
-1.202,54.562
-1.247,54.568
-1.505,54.977
-1.522,54.974
-1.488,54.979
-1.399,54.977
-1.426,54.980
-1.411,54.979
-1.421,54.989
-1.400,54.984
-1.436,54.974
-1.454,54.971
-1.575,55.088
-1.504,55.076
-1.583,55.100
-1.592,55.087
-1.535,55.115
-1.514,55.111
-1.509,55.124
-1.524,55.121
-1.582,55.075
-1.532,55.070
-1.592,54.938
-1.546,54.944
-1.531,54.947
-1.645,54.947
-1.570,54.947
-1.586,54.948
-1.607,54.949
-1.680,54.949
-1.561,54.937
-1.686,54.937
-1.373,54.898
-1.505,54.900
-1.444,54.902
-1.417,54.899
-1.427,54.904
-1.388,54.903
-1.539,54.907
-1.406,54.906
-1.404,54.899
-1.523,54.898
-1.326,54.572
-1.348,54.569
-1.309,54.581
-1.362,54.575
-1.337,54.587
-1.353,54.583
-1.323,54.594
-1.313,54.589
-1.319,54.560
-1.361,54.562
-1.461,55.038
-1.440,55.033
-1.501,55.040
-1.574,55.040
-1.472,55.042
-1.443,55.041
-1.457,55.049
-1.628,55.049
-1.512,55.032
-1.557,55.033
-1.424,54.876
-1.402,54.872
-1.370,54.885
-1.531,54.882
-1.393,54.891
-1.424,54.886
-1.544,54.894
-1.173,54.543
-1.707,55.000
-1.444,54.891
-1.186,54.530
-1.369,54.871
-1.434,54.870
-1.307,54.518
-1.322,54.517
-1.295,54.532
-1.354,54.522
-1.292,54.547
-1.299,54.540
-1.338,54.558
-1.300,54.554
-1.349,54.499
-1.584,54.550
-1.586,55.014
-1.465,55.014
-1.445,55.017
-1.556,55.019
-1.481,55.021
-1.429,55.018
-1.456,55.026
-1.569,55.024
-1.513,55.013
-1.451,55.011
-1.734,54.900
-1.624,54.821
-1.529,54.845
-1.584,54.848
-1.588,54.854
-1.577,54.865
-1.612,54.872
-1.604,54.885
-1.691,54.875
-1.845,54.873
-0.976,54.563
-0.895,54.557
-0.939,54.569
-1.139,54.562
-1.146,54.571
-1.025,54.590
-0.978,54.582
-1.154,54.552
-1.669,54.983
-1.548,54.984
-1.599,54.986
-1.577,54.985
-1.701,54.991
-1.660,54.988
-1.607,54.993
-1.749,54.993
-1.710,54.981
-1.640,54.978
-2.015,54.591
-1.920,54.546
-1.577,54.616
-1.789,54.613
-1.586,54.623
-1.562,54.621
-1.644,54.631
-1.583,54.630
-1.976,54.738
-1.755,54.716
-1.693,55.159
-1.979,54.953
-1.725,54.959
-2.178,53.853
-2.225,53.849
-2.175,53.860
-2.144,53.858
-2.144,53.913
-2.161,53.861
-2.188,53.921
-2.187,53.915
-2.060,53.489
-2.039,53.488
-2.091,53.498
-2.079,53.490
-2.074,53.499
-2.108,53.498
-2.090,53.506
-2.208,53.842
-2.029,53.503
-2.204,53.835
-2.136,53.486
-2.151,53.485
-3.031,53.843
-3.040,53.834
-3.029,53.857
-3.047,53.852
-2.411,53.656
-3.038,53.870
-2.471,53.698
-2.457,53.686
-3.051,53.831
-3.017,53.831
-3.133,54.600
-3.199,54.182
-3.547,54.633
-3.531,54.656
-3.557,54.633
-3.412,54.661
-3.356,54.661
-3.179,54.153
-3.212,54.133
-2.116,53.561
-2.155,53.445
-2.439,53.430
-2.144,53.553
-2.415,53.451
-2.075,53.565
-2.280,53.474
-2.131,53.562
-2.361,53.478
-2.108,53.569
-2.349,53.480
-2.008,53.567
-2.371,53.480
-2.093,53.577
-2.284,53.487
-2.132,53.575
-2.092,53.553
-2.161,53.432
-2.082,53.550
-2.165,53.444
-2.177,53.488
-2.217,53.484
-2.829,54.064
-2.178,53.499
-2.238,53.511
-2.209,53.506
