areacd,total,value
E06000001,40434,24194
E06000002,57203,32723
E06000003,59605,39705
E06000004,79159,54225
E06000005,46670,30289
E06000006,53312,33796
E06000007,85140,60915
E06000008,57353,36793
E06000009,64367,39650
E06000010,112596,55785
E06000011,143032,107706
E06000012,69707,46070
E06000013,70684,49137
E06000014,83552,55227
E06000015,102271,62765
E06000016,123125,61170
E06000017,15002,10556
E06000018,126131,56867
E06000019,78319,53014
E06000020,66608,42417
E06000021,107575,63928
E06000022,73515,49068
E06000023,182747,98708
E06000024,88227,64365
E06000025,107538,80586
E06000026,109307,64157
E06000027,59010,39424
E06000030,88360,57902
E06000031,74023,43877
E06000032,74293,44696
E06000033,74678,48666
E06000034,62353,41278
E06000035,106209,71853
E06000036,45878,31419
E06000037,62340,43435
E06000038,62869,34479
E06000039,50766,26755
E06000040,58349,39676
E06000041,60332,48103
E06000042,98584,56913
E06000043,121540,64790
E06000044,85473,46897
E06000045,98254,48873
E06000046,61085,42817
E06000047,223803,147347
E06000049,159441,118766
E06000050,141442,100105
E06000051,129674,89688
E06000052,230389,158524
E06000053,989,412
E06000054,194194,131083
E06000055,63812,41937
E06000056,104399,75743
E06000057,138534,91207
E06000058,167379,107726
E06000059,158738,113870
E06000060,200727,144852
E06000061,132635,90354
E06000062,155095,104795
E07000008,46714,22171
E07000009,34614,23719
E07000010,40620,28436
E07000011,69333,49398
E07000012,59960,42129
E07000026,42345,29217
E07000027,31224,22938
E07000028,48342,32999
E07000029,30536,21671
E07000030,23043,16258
E07000031,46552,33967
E07000032,52596,38974
E07000033,32801,21963
E07000034,46796,29547
E07000035,30744,22269
E07000036,48692,35290
E07000037,38946,28059
E07000038,43070,30531
E07000039,38992,29416
E07000040,59071,44283
E07000041,49242,29443
E07000042,32758,22626
E07000043,40001,27383
E07000044,36858,26440
E07000045,54003,39678
E07000046,27986,19998
E07000047,22725,16630
E07000061,45012,27788
E07000062,41159,22706
E07000063,42181,30648
E07000064,40877,30060
E07000065,62676,49355
E07000066,72746,47972
E07000067,61043,41872
E07000068,30646,23028
E07000069,36440,30101
E07000070,69667,50978
E07000071,71634,47507
E07000072,51991,37565
E07000073,34620,19429
E07000074,25817,20251
E07000075,33564,27822
E07000076,62105,45752
E07000077,31316,22425
E07000078,50929,32879
E07000079,36236,23803
E07000080,34167,25371
E07000081,50363,33858
E07000082,47794,34988
E07000083,35126,25844
E07000084,69315,46936
E07000085,47258,34919
E07000086,52177,38362
E07000087,46579,37460
E07000088,35430,23115
E07000089,35510,27747
E07000090,51311,35387
E07000091,76839,57603
E07000092,36344,23089
E07000093,47626,33501
E07000094,46865,31646
E07000095,37658,27460
E07000096,59938,38877
E07000098,39778,26897
E07000099,53426,35072
E07000102,35108,25532
E07000103,36681,22608
E07000105,47787,32685
E07000106,60771,40107
E07000107,40081,26819
E07000108,48310,32142
E07000109,40431,26099
E07000110,63447,44700
E07000111,47020,34200
E07000112,47379,30715
E07000113,55585,37951
E07000114,59513,36907
E07000115,48140,34246
E07000116,47174,30999
E07000117,37550,24408
E07000118,44919,33783
E07000119,34885,25622
E07000120,34341,23238
E07000121,57822,39999
E07000122,37348,25580
E07000123,57567,34909
E07000124,24045,18423
E07000125,29058,20250
E07000126,46102,36337
E07000127,45381,33122
E07000128,47281,36676
E07000129,38686,31309
E07000130,66516,47961
E07000131,34898,27238
E07000132,45377,34826
E07000133,21490,15498
E07000134,39128,28360
E07000135,21339,17239
E07000136,27291,17430
E07000137,60890,42137
E07000138,39825,21932
E07000139,45972,34187
E07000140,37264,27035
E07000141,57344,39809
E07000142,38385,27859
E07000143,54519,37427
E07000144,53336,42343
E07000145,42079,27073
E07000146,62977,43707
E07000147,46046,32293
E07000148,60319,26442
E07000149,52809,39555
E07000163,24583,17973
E07000164,38117,26508
E07000165,67169,47738
E07000166,20207,12910
E07000167,22524,15124
E07000168,49435,32520
E07000169,34559,25911
E07000170,50931,35261
E07000171,47667,33115
E07000172,46820,34270
E07000173,49349,37138
E07000174,44928,29908
E07000175,48773,34455
E07000176,45835,35142
E07000177,56728,39303
E07000178,55375,25873
E07000179,54104,39461
E07000180,49407,34750
