areacd,total,value
E01003744,592,506
E01004352,813,612
E01004353,798,616
E01004354,749,532
E01004359,610,472
E01004384,695,357
E01004389,706,402
E01004390,652,329
E01021237,518,494
E01021238,520,484
E01021239,522,494
E01021240,787,508
E01021241,650,442
E01021242,482,453
E01021243,668,610
E01021244,633,549
E01021245,638,307
E01021246,652,582
E01021247,657,526
E01021248,620,513
E01021249,622,567
E01021250,632,583
E01021251,603,564
E01021252,637,536
E01021253,675,630
E01021255,632,549
E01021338,615,440
E01021347,918,750
E01021348,640,385
E01021349,491,422
E01021350,712,580
E01021351,559,508
E01021352,589,505
E01021353,807,538
E01021354,548,260
E01021355,825,559
E01021356,545,431
E01021357,636,412
E01021358,919,397
E01021359,866,411
E01021360,781,421
E01021361,647,492
E01021362,577,467
E01021364,677,552
E01021365,1133,554
E01021366,597,542
E01021367,572,280
E01021368,682,433
E01021369,1078,688
E01021370,717,286
E01021371,698,560
E01021372,769,569
E01021373,1041,709
E01021374,600,306
E01021375,473,354
E01021376,556,469
E01021377,729,529
E01021378,792,448
E01021379,707,602
E01021380,963,675
E01021381,513,453
E01021382,524,399
E01021383,712,590
E01021384,845,720
E01021385,515,374
E01021386,564,505
E01021387,1015,574
E01021388,720,447
E01021389,719,591
E01021390,664,553
E01021391,692,296
E01021392,754,507
E01021393,650,451
E01021394,664,410
E01021395,614,486
E01021396,535,420
E01021397,742,523
E01021398,627,479
E01021399,675,471
E01021400,747,539
E01021401,661,378
E01021404,892,689
E01021405,898,727
E01021406,952,702
E01021409,720,577
E01021410,719,395
E01021411,536,371
E01021412,595,365
E01021413,525,411
E01021414,884,688
E01021415,743,405
E01021416,769,521
E01021417,657,396
E01021418,549,300
E01021419,712,497
E01021420,730,481
E01021422,787,442
E01021423,596,323
E01021424,811,612
E01021425,596,341
E01021426,588,364
E01021427,538,280
E01021428,623,569
E01021429,528,333
E01021430,836,603
E01021431,633,514
E01021432,698,373
E01021433,919,630
E01021434,512,368
E01021441,573,463
E01021442,514,497
E01021443,541,437
E01021444,633,510
E01021447,966,873
E01021448,640,380
E01021449,638,453
E01021450,793,735
E01021451,623,295
E01021452,620,563
E01021453,519,415
E01021455,519,499
E01021456,511,430
E01021457,611,408
E01021458,777,568
E01021459,525,491
E01021460,675,495
E01021461,620,311
E01021462,568,508
E01021463,629,500
E01021464,599,442
E01021465,816,646
E01021466,656,616
E01021467,668,628
E01021469,462,392
E01021470,406,316
E01021471,613,566
E01021533,926,780
E01021535,685,530
E01021536,700,395
E01021537,787,669
E01021538,998,737
E01021539,534,370
E01021540,636,517
E01021541,637,400
E01021542,839,552
E01021543,650,586
E01021544,617,470
E01021545,641,565
E01021546,608,381
E01021547,702,503
E01021548,542,419
E01021550,570,434
E01021551,557,411
E01021552,673,505
E01021553,570,430
E01021554,653,386
E01021555,532,453
E01021556,677,537
E01021557,487,458
E01021558,502,472
E01021559,578,513
E01021560,781,626
E01021561,752,670
E01021562,800,457
E01021563,809,395
E01021564,638,543
E01021565,681,268
E01021566,697,555
E01021568,627,543
E01021569,640,588
E01021570,763,672
E01021571,595,493
E01021572,633,370
E01021573,700,483
E01021574,1010,408
E01021575,717,362
E01021576,611,150
E01021577,613,526
E01021578,859,451
E01021579,608,480
E01021580,505,462
E01021582,976,550
E01021583,603,474
E01021584,471,455
E01021585,492,455
E01021586,614,555
E01021587,616,555
E01021588,623,320
E01021589,665,376
E01021590,588,521
E01021591,643,537
E01021592,678,205
E01021593,666,609
E01021594,679,517
E01021595,708,639
E01021596,698,237
E01021597,590,392
E01021598,660,406
E01021599,728,586
E01021600,441,389
E01021601,685,335
E01021602,754,495
E01021604,861,757
E01021605,469,422
E01021606,593,460
E01021607,648,468
E01021608,547,340
E01021609,515,479
E01021610,571,423
E01021611,528,478
E01021612,608,566
E01021613,853,599
E01021614,646,574
E01021615,622,536
E01021616,553,517
E01021617,599,387
E01021618,572,466
E01021619,634,519
E01021620,643,496
E01021621,616,499
E01021622,632,551
E01021623,514,446
E01021624,503,474
E01021625,615,536
E01021626,554,477
E01021627,588,382
E01021628,665,455
E01021629,677,405
E01021631,787,351
E01021632,601,537
E01021633,514,422
E01021634,614,522
E01021635,625,479
E01021636,510,243
E01021741,784,643
E01021742,513,367
E01021743,824,511
E01021744,648,503
E01021745,655,523
E01021746,859,660
E01021747,643,544
E01021748,752,544
E01021749,912,751
E01021750,476,364
E01021751,444,411
E01021753,629,395
E01021754,615,565
E01021755,479,423
E01021756,612,499
E01021757,795,601
E01021758,749,364
E01021759,608,438
E01021760,655,486
E01021761,744,527
E01021762,611,363
E01021763,653,503
E01021768,865,653
E01021769,852,612
E01021770,907,647
E01021771,713,303
E01021772,599,430
E01021773,595,389
E01021774,617,323
E01021775,631,348
E01021776,717,298
E01021777,567,364
E01021778,571,378
E01021779,702,350
E01021780,523,467
E01021781,633,531
E01021782,639,519
E01021783,639,542
E01021784,642,550
E01021785,662,410
E01021786,520,417
E01021787,629,551
E01021788,624,532
E01021789,526,489
E01021790,556,353
E01021791,660,495
E01021793,616,583
E01021794,484,345
E01021795,935,648
E01021796,868,675
E01021797,523,441
E01021798,638,503
E01021799,706,422
E01021800,862,662
E01021801,876,742
E01021802,903,529
E01021803,536,401
E01021804,586,468
E01021805,491,472
E01021806,1002,860
E01021807,591,483
E01021808,617,366
E01021809,616,418
E01021810,788,521
E01021811,602,314
E01021812,579,491
E01021813,581,482
E01021814,604,422
E01021815,603,373
E01021816,609,236
E01021819,638,354
E01021820,644,377
E01021821,640,277
E01021822,626,356
E01021823,759,324
E01021824,641,569
E01021825,648,520
E01021826,645,509
E01021827,715,528
E01021828,864,756
E01021829,651,372
E01021830,493,395
E01021831,641,342
E01021832,514,431
E01021833,522,312
E01021834,654,355
E01021835,607,366
E01021836,644,277
E01021837,635,398
E01021838,605,413
E01021839,633,339
E01021840,623,292
E01021841,539,302
E01021842,634,250
E01021843,940,390
E01021844,525,300
E01021845,621,251
E01021846,573,238
E01021847,616,301
E01021848,690,343
E01021849,670,352
E01021850,617,255
E01021851,713,258
E01021852,670,326
E01021853,590,299
E01021854,732,455
E01021855,601,351
E01021856,610,406
E01021857,1069,621
E01021858,640,282
E01021859,615,286
E01021860,598,316
E01021861,491,266
E01021862,626,330
E01021863,621,342
E01021864,549,263
E01021865,568,343
E01021866,609,349
E01021867,584,496
E01021868,674,397
E01021869,558,380
E01021870,577,320
E01021871,629,282
E01021872,829,217
E01021883,651,526
E01021884,604,474
E01021886,601,513
E01021887,864,730
E01021888,821,452
E01021889,930,482
E01021890,905,558
E01021891,743,593
E01021892,481,276
E01021893,592,564
E01021894,498,349
E01021895,492,410
E01021896,494,461
E01021897,484,401
E01021898,587,443
E01021902,668,593
E01021903,624,508
E01021912,830,730
E01021913,589,497
E01021942,825,740
E01021943,707,610
E01021944,633,590
E01021945,621,588
E01022057,674,503
E01022058,636,491
E01022059,622,441
E01022060,696,560
E01022061,568,457
E01022062,786,667
E01022063,622,471
E01022064,676,576
E01022067,926,485
E01022068,618,447
E01022069,661,493
E01022070,712,507
E01022071,652,462
E01022072,733,567
E01022073,628,451
E01022074,584,347
E01022075,715,588
E01022076,939,538
E01022077,637,503
E01022078,622,307
E01022079,750,494
E01022080,633,474
E01022081,963,658
E01022082,667,504
E01022083,684,553
E01022084,610,546
E01022085,691,478
E01022086,524,270
E01022087,715,517
E01022088,609,491
E01022089,603,427
E01022090,923,588
E01022091,910,661
E01022092,716,541
E01022093,719,448
E01022095,602,422
E01022096,730,548
E01022097,713,541
E01022098,609,477
E01022099,785,481
E01023330,607,403
E01023438,583,404
E01023439,504,350
E01023440,647,589
E01023441,491,321
E01023442,798,485
E01023443,647,478
E01023444,681,480
E01023445,701,427
E01023446,1135,492
E01023447,484,141
E01023448,585,443
E01023449,669,556
E01023450,989,469
E01023451,929,785
E01023452,482,404
E01023453,538,428
E01023454,504,441
E01023455,538,430
E01023456,511,469
E01023457,610,508
E01023458,520,403
E01023459,518,475
E01023460,548,505
E01023461,515,481
E01023462,524,386
E01023463,497,367
E01023491,528,343
E01023492,586,417
E01023493,933,712
E01023496,442,301
E01023497,648,436
E01023498,1103,808
E01023499,755,453
E01023500,615,584
E01023501,679,575
E01023502,799,544
E01023503,739,598
E01023504,574,339
E01023505,734,565
E01023507,627,514
E01023597,491,381
E01033052,621,397
E01033053,622,471
E01033054,468,242
E01033055,542,473
E01033056,521,338
