areacd,total,value
E02000001,4385,1855
E02000038,4049,2570
E02000039,2485,1811
E02000040,2649,1494
E02000041,3120,1886
E02000042,4421,2346
E02000043,2693,1912
E02000044,2862,1347
E02000045,4168,2093
E02000046,2860,1438
E02000047,4036,1645
E02000048,3784,2595
E02000049,3028,587
E02000050,3853,1950
E02000051,3537,2077
E02000052,4163,2151
E02000053,3244,1399
E02000054,2774,1498
E02000055,4179,1914
E02000056,3390,2370
E02000057,2460,1351
E02000058,3961,2462
E02000059,3990,1813
E02000060,3400,1675
E02000061,3172,1609
E02000062,2357,855
E02000063,2503,1339
E02000064,2450,1018
E02000093,3408,2176
E02000094,2738,1599
E02000095,3117,1868
E02000096,2518,1898
E02000097,2926,1845
E02000098,2652,1425
E02000099,2782,1442
E02000100,2696,1768
E02000101,3312,1240
E02000102,2496,1142
E02000103,2994,1418
E02000104,2213,1286
E02000105,2997,1479
E02000106,3449,1450
E02000107,4107,1475
E02000108,2147,1176
E02000109,3264,1536
E02000110,2969,1357
E02000111,2914,1479
E02000112,2892,1503
E02000113,3306,736
E02000114,3528,1081
E02000115,3911,1249
E02000116,3072,679
E02000117,4557,1020
E02000118,2849,1484
E02000119,2597,335
E02000120,4277,1436
E02000121,2623,1393
E02000122,3047,1659
E02000123,5884,1415
E02000124,4334,1776
E02000125,4329,2094
E02000126,3381,405
E02000130,3464,2040
E02000131,4589,1775
E02000132,4668,2481
E02000135,4402,1115
E02000137,3637,2645
E02000138,4057,2931
E02000139,3202,2147
E02000141,3055,1973
E02000147,3183,2725
E02000150,3109,2536
E02000156,4756,4058
E02000166,3537,1595
E02000167,3629,2017
E02000168,3535,1485
E02000169,2942,1631
E02000170,3685,1643
E02000171,3502,1517
E02000172,4186,911
E02000173,3569,1411
E02000174,3822,1175
E02000175,4277,1393
E02000176,3261,1493
E02000177,3865,1013
E02000178,4280,1153
E02000179,2870,1049
E02000180,3394,986
E02000181,3657,1554
E02000182,2963,1133
E02000183,3881,1515
E02000184,3655,740
E02000185,3938,815
E02000186,3099,860
E02000187,3290,396
E02000188,3170,435
E02000189,2253,285
E02000190,3181,664
E02000191,2868,715
E02000192,3375,676
E02000193,3850,1108
E02000194,4099,1940
E02000195,3446,2468
E02000196,2553,1496
E02000197,3403,1823
E02000198,3338,1651
E02000199,3172,2056
E02000200,3811,2036
E02000201,3814,1437
E02000202,2981,2014
E02000203,3062,1400
E02000204,3146,1974
E02000206,4009,1695
E02000207,3592,1721
E02000208,3821,1322
E02000209,2919,1655
E02000210,3371,2212
E02000211,3279,2780
E02000212,2977,1358
E02000213,4160,1166
E02000214,2321,1854
E02000215,4991,2125
E02000216,3028,1673
E02000217,4273,1936
E02000218,2369,1378
E02000219,2999,2662
E02000220,4847,1676
E02000221,3866,1874
E02000222,3539,2142
E02000223,2875,796
E02000224,3309,2047
E02000225,2708,1504
E02000226,2796,2535
E02000227,4851,3622
E02000228,2924,2587
E02000229,2413,975
E02000230,4004,2838
E02000231,2543,2233
E02000232,2324,1931
E02000233,2391,1758
E02000234,3161,2175
E02000235,2694,2154
E02000236,2838,2490
E02000237,3090,2491
E02000238,3179,1994
E02000239,2924,2058
E02000240,3770,1817
E02000241,2366,1576
E02000242,2151,1371
E02000243,3068,1674
E02000244,2658,1678
E02000245,3210,1124
E02000246,3071,1465
E02000247,3755,1794
E02000248,2902,1387
E02000249,2739,1470
E02000250,2541,1844
E02000251,2442,1713
E02000252,3717,1217
E02000253,3744,1583
E02000254,2487,1713
E02000255,3622,2013
E02000256,3782,1777
E02000257,5873,2453
E02000258,2544,1147
E02000259,2283,1462
E02000260,2468,1404
E02000261,4110,1559
E02000262,3771,1400
E02000263,3155,1794
E02000264,3205,1550
E02000265,4747,1944
E02000266,3711,1232
E02000267,2847,1593
E02000268,3824,1981
E02000269,3245,2061
