areacd,total,value
E00134321,132,109
E00134322,99,83
E00134323,113,54
E00134324,125,100
E00134352,138,116
E00134353,128,94
E00134354,53,47
E00134355,60,47
E00134356,161,124
E00134357,87,56
E00134358,86,43
E00134359,116,86
E00134360,93,43
E00134361,113,76
E00134362,95,79
E00134364,56,13
E00134365,76,32
E00134366,65,26
E00134367,116,97
E00134369,55,6
E00134427,135,118
E00134428,102,95
E00134429,61,17
E00134430,52,34
E00134431,109,93
E00134432,99,80
E00134468,111,87
E00134469,101,83
E00134470,57,50
E00134472,158,136
E00134473,91,9
E00134475,118,82
E00134476,129,115
E00134477,117,99
E00134478,165,122
E00134479,161,154
E00134480,124,115
E00134481,125,107
E00134482,123,99
E00134483,122,83
E00134577,106,78
E00134578,136,104
E00134579,110,45
E00134580,124,71
E00134581,124,112
E00134582,136,115
E00134583,132,77
E00134584,125,73
E00134772,144,100
E00134773,145,120
E00134774,131,63
E00134775,84,68
E00135675,120,92
E00135676,127,73
E00135678,124,78
E00135679,116,72
E00135680,105,94
E00135681,109,74
E00135861,60,45
E00135862,139,103
E00135863,60,32
E00135864,143,111
E00135867,116,53
E00135868,135,100
E00135869,88,65
E00135870,87,78
E00135874,149,121
E00135875,217,107
E00135932,100,80
E00135936,82,63
E00135975,120,111
E00135976,127,91
E00135977,130,103
E00135978,121,102
E00135979,127,54
E00135980,126,107
E00135981,122,82
E00135982,133,97
E00135983,121,105
E00135984,127,93
E00135985,136,100
E00135986,117,66
E00135987,134,119
E00135988,151,133
E00135989,127,109
E00135990,135,71
E00135991,131,36
E00135992,124,115
E00135993,120,67
E00135994,130,55
E00135995,131,114
E00135996,134,123
E00135997,115,89
E00135998,133,63
E00135999,133,68
E00136000,114,51
E00136001,165,80
E00136070,197,139
E00136167,53,34
E00136168,149,82
E00136169,140,98
E00136170,114,78
E00136171,122,76
E00136172,132,60
E00136173,109,96
E00136174,86,50
E00136175,112,91
E00136176,106,95
E00136185,106,48
E00136186,78,43
E00136187,65,38
E00136188,138,117
E00136189,122,77
E00136190,139,60
E00136191,96,51
E00136192,160,89
E00136216,118,80
E00136217,96,79
E00136218,116,59
E00136219,146,122
E00136220,154,110
E00136221,136,72
E00136222,152,109
E00136223,93,73
E00169874,106,74
E00169907,170,92
