areacd,total,value
E01008162,1191,523
E01008163,678,280
E01008164,638,224
E01008165,594,204
E01008166,1023,93
E01008167,721,314
E01008168,1097,220
E01008169,416,213
E01008170,986,285
E01008171,559,208
E01008172,779,556
E01008173,615,269
E01008174,903,466
E01008175,681,445
E01008176,621,515
E01008177,609,458
E01008178,687,408
E01008179,519,381
E01008180,636,189
E01008181,644,483
E01008182,744,379
E01008183,650,407
E01008184,641,537
E01008185,581,267
E01008186,938,588
E01008187,789,439
E01008188,610,459
E01008189,645,243
E01008190,560,493
E01008191,767,285
E01008192,677,334
E01008193,493,437
E01008194,602,540
E01008195,881,624
E01008196,823,614
E01008197,695,576
E01008198,600,357
E01008199,636,504
E01008200,558,505
E01008201,629,191
E01008202,803,418
E01008203,877,327
E01008204,739,208
E01008205,676,552
E01008206,741,580
E01008207,591,523
E01008208,739,400
E01008209,990,470
E01008210,617,266
E01008211,743,514
E01008212,694,222
E01008213,645,390
E01008214,746,122
E01008215,823,215
E01008216,743,268
E01008217,731,400
E01008218,766,247
E01008219,725,433
E01008220,576,133
E01008221,718,329
E01008222,654,365
E01008223,800,262
E01008224,801,558
E01008225,800,535
E01008226,669,394
E01008227,662,117
E01008228,551,251
E01008229,635,451
E01008230,630,332
E01008231,689,285
E01008232,589,258
E01008233,606,518
E01008234,1034,818
E01008235,630,575
E01008236,761,474
E01008237,593,558
E01008238,677,549
E01008239,634,528
E01008240,643,412
E01008241,710,423
E01008242,701,327
E01008243,733,534
E01008244,1009,531
E01008245,632,506
E01008246,633,361
E01008247,761,388
E01008248,724,640
E01008249,721,611
E01008250,592,405
E01008251,913,444
E01008252,729,293
E01008253,818,313
E01008254,663,255
E01008255,753,432
E01008256,775,600
E01008257,669,235
E01008258,1154,362
E01008259,1038,283
E01008260,629,570
E01008261,642,300
E01008262,789,400
E01008263,672,305
E01008264,599,550
E01008265,622,403
E01008266,643,478
E01008267,700,511
E01008268,628,495
E01008269,645,604
E01008270,603,573
E01008271,606,553
E01008272,651,543
E01008273,628,502
E01008274,632,412
E01008275,648,598
E01008276,741,489
E01008277,668,445
E01008278,603,555
E01008279,655,581
E01008280,877,390
E01008281,657,339
E01008282,665,296
E01008283,604,556
E01008284,617,454
E01008285,664,269
E01008286,661,399
E01008287,820,632
E01008288,626,384
E01008289,603,196
E01008290,543,218
E01008291,901,87
E01008301,913,421
E01008302,780,249
E01008304,1078,100
E01008305,921,105
E01008331,593,114
E01008332,906,124
E01008333,536,251
E01008334,833,362
E01008335,674,339
E01008387,624,498
E01008388,836,161
E01008389,788,186
E01008390,814,133
E01008398,868,71
E01008399,800,126
E01008406,766,113
E01008425,1030,134
E01008426,640,142
E01008427,581,87
E01008428,543,290
E01008429,620,207
E01008437,567,52
E01008438,850,80
E01008439,805,98
E01008449,575,123
E01008590,749,346
E01008591,763,339
E01008592,689,403
E01008593,569,224
E01008594,738,359
E01008601,635,258
E01008602,631,244
E01008603,648,289
E01008605,508,368
E01008606,651,252
E01008607,604,181
E01008608,544,210
E01008609,648,285
E01008610,637,238
E01008611,602,507
E01008612,640,520
E01008613,757,357
E01008614,676,443
E01008615,679,438
E01008616,643,583
E01008617,621,536
E01008620,657,575
E01008621,604,578
E01008622,713,588
E01008627,611,540
E01008628,624,279
E01008629,595,457
E01008630,627,219
E01008631,614,367
E01008632,571,240
E01008635,633,452
E01008640,889,552
E01008641,818,311
E01008642,578,517
E01008643,620,437
E01008644,753,330
E01008645,668,302
E01008646,609,416
E01008653,526,199
E01008654,600,364
E01008655,663,275
E01008656,604,393
E01008657,578,498
E01008658,581,228
E01008659,634,362
E01008660,655,461
E01008661,512,271
E01008662,514,246
E01008663,637,297
E01008669,649,216
E01008670,744,367
E01008672,588,369
E01008681,637,596
E01008682,509,200
E01008688,654,338
E01008689,769,282
E01008690,646,329
E01008691,494,445
E01008692,615,345
E01008693,555,313
E01008694,618,311
E01008695,606,314
E01008696,490,382
E01008697,571,292
E01008698,724,292
E01008699,605,284
E01008701,650,340
E01008704,650,395
E01008714,528,221
E01008715,587,388
E01008716,592,556
E01008717,683,401
E01008718,610,397
E01008719,557,319
E01008720,618,424
E01008721,626,528
E01008729,462,180
E01008730,647,222
E01008731,519,212
E01008732,940,564
E01008733,882,337
E01008734,637,580
E01008742,754,525
E01008743,725,252
E01008744,750,377
E01008745,728,623
E01008746,714,276
E01008747,656,423
E01008748,655,420
E01008749,638,546
E01008750,762,586
E01008751,462,267
E01008752,692,324
E01008753,559,370
E01008754,694,345
E01008755,589,368
E01008756,652,280
E01008757,648,399
E01008758,601,478
E01008759,664,537
E01008760,626,525
E01008761,588,538
E01008762,639,249
E01008770,600,428
E01008771,618,414
E01008772,585,493
E01008773,675,276
E01008774,591,477
E01008775,601,538
E01008776,494,275
E01008777,886,187
E01008778,609,372
E01008793,823,246
E01008795,722,547
E01008796,621,471
E01008797,833,728
E01008799,641,542
E01008800,582,196
E01008801,658,596
E01008802,643,465
E01008808,634,527
E01008809,693,465
E01008810,712,344
E01008811,690,498
E01008812,751,319
E01008813,643,337
E01008814,661,445
E01008817,465,116
E01008819,630,325
E01008820,558,370
E01008821,539,237
E01008822,732,329
E01008823,606,228
E01008824,625,198
E01008825,687,356
E01008826,606,312
E01008827,524,182
E01008828,643,227
E01008829,627,190
E01008837,633,257
E01008838,680,260
E01008839,671,213
E01008840,586,306
E01008841,528,180
E01008842,592,403
E01008843,555,465
E01008844,688,474
E01008845,672,502
E01008846,464,165
E01008847,513,196
E01008848,608,439
E01008849,499,159
E01008850,625,538
E01008851,753,390
E01008852,531,417
E01008853,619,258
E01008854,812,335
E01008855,644,411
E01008856,629,533
E01008857,630,330
E01008858,598,171
E01008859,534,197
E01008860,596,300
E01008861,649,409
E01008862,567,501
E01008863,633,560
E01008864,540,461
E01008865,608,344
E01008866,606,337
E01008867,803,261
E01008868,513,447
E01008869,523,393
E01008870,595,474
E01008871,602,331
E01008872,663,495
E01008873,540,456
E01008874,671,263
E01008875,674,352
E01008876,579,510
E01008877,634,545
E01008878,635,442
E01008879,617,412
E01008880,512,315
E01012269,668,585
E01012295,495,372
E01012304,649,222
E01012305,622,316
E01012306,601,446
E01012307,878,504
E01012309,760,618
E01012310,864,680
E01012311,633,334
E01012312,625,195
E01012313,664,386
E01012314,591,271
E01012315,688,617
E01012316,1163,782
E01012317,624,499
E01012318,1015,377
E01012319,1119,749
E01012323,657,538
E01012324,627,531
E01012325,657,498
E01012326,502,290
E01012327,625,155
E01012328,768,447
E01012329,776,704
E01012330,458,422
E01012331,505,412
E01012332,592,327
E01012333,592,431
E01012334,962,727
E01012335,620,525
E01012336,725,617
E01012337,709,669
E01012338,848,604
E01012339,756,648
E01012340,1053,663
E01012341,798,297
E01012342,819,404
E01012343,887,698
E01012344,605,400
E01012345,580,521
E01012346,699,583
E01012347,765,625
E01012348,915,828
E01012349,798,216
E01012350,775,439
E01012351,556,446
E01012352,804,347
E01012353,780,375
E01012354,737,278
E01012355,710,310
E01012356,742,438
E01012357,606,371
E01012358,708,421
E01012359,671,131
E01012360,783,571
E01012361,798,736
E01012362,703,358
E01012363,684,420
E01012364,740,469
E01012365,540,475
