areacd,total,value
E02001882,3144,1710
E02001883,3615,1663
E02001884,2447,1307
E02001886,3231,1594
E02001888,2400,1359
E02001889,2276,1274
E02001890,4450,1696
E02001892,3534,1631
E02001893,3168,2221
E02001895,3259,1739
E02001896,2422,1293
E02001897,2818,696
E02001898,2664,2280
E02001899,3216,2472
E02001900,2625,1015
E02001901,3677,2067
E02001902,2487,1806
E02001903,2016,875
E02001904,2618,1422
E02001905,2578,1522
E02001906,3798,2791
E02001907,4115,3037
E02001908,2178,1256
E02001909,2298,995
E02001910,2330,854
E02001911,3317,1405
E02001913,3289,1277
E02001914,2195,1310
E02001915,4852,2634
E02001916,3085,1703
E02001918,4081,1689
E02001919,2624,1498
E02001920,3256,1660
E02001921,3283,1864
E02001922,2994,476
E02001923,3380,2293
E02001924,2396,1586
E02001925,2812,1697
E02001926,2829,1559
E02001927,3205,1610
E02001928,3003,1546
E02001929,3690,1854
E02001930,3203,2192
E02001931,3067,2262
E02001932,2853,1199
E02001933,3119,1982
E02001934,2297,1858
E02001935,3238,1938
E02001936,2570,1931
E02001937,3249,1696
E02001938,3286,2022
E02001939,2882,939
E02001941,2519,1348
E02001942,2971,1700
E02001943,2593,1645
E02001944,3411,2181
E02001945,3098,1530
E02001946,3193,2508
E02001947,2869,1067
E02001948,3073,2305
E02001949,2483,1452
E02001950,3608,2602
E02001951,3573,1409
E02001952,4055,1535
E02001953,2963,2220
E02001954,3400,1338
E02001955,2738,1573
E02001956,2684,1904
E02001957,3283,2562
E02001958,3268,1997
E02001959,2378,1900
E02001961,3277,1546
E02001962,2215,1259
E02001963,2441,1898
E02001964,3282,984
E02001965,3309,2286
E02001966,2228,1061
E02001967,2648,2195
E02001968,2693,1793
E02001969,2677,1530
E02001970,2474,1816
E02001971,2401,1853
E02001972,3644,1149
E02001973,3414,1667
E02001974,3906,3127
E02001975,2974,2392
E02001976,3126,1830
E02001977,4097,1350
E02001978,2538,1845
E02001979,2465,2140
E02001980,2568,2291
E02001981,4334,1079
E02001982,3068,2223
E02001983,3268,2453
E02001984,3515,2479
E02001985,3071,931
E02001986,3587,1741
E02001987,2609,1233
E02001988,3562,883
E02001989,2296,1718
E02001990,3661,3108
E02001991,3732,2714
E02001992,3879,1889
E02001993,2937,1583
E02001994,3398,2399
E02001995,3090,1856
E02001996,3262,1072
E02001997,3464,2949
E02001998,2381,2137
E02001999,2258,1724
E02002021,3400,1343
E02002022,3418,2032
E02002023,2221,1779
E02002024,3434,2365
E02002025,3319,2331
E02002026,2800,2340
E02002027,2223,2004
E02002028,2587,1979
E02002029,2468,2074
E02002030,2690,1680
E02002031,2339,1782
E02002032,4050,2474
E02002033,3190,2403
E02002034,3724,2298
E02002035,2490,2131
E02002036,2773,1375
E02002037,2507,1884
E02002038,4231,2671
E02002039,2562,1906
E02002040,2510,2187
E02002041,2570,2080
E02002042,3361,2900
E02002074,3109,1925
E02002075,3593,2078
E02002076,4479,2831
E02002077,4282,2359
E02002078,2483,1972
E02002079,3375,2146
E02002080,2783,1609
E02002086,2462,932
E02002087,2684,1260
E02002088,4116,1833
E02002089,3084,2304
E02002090,2302,1989
E02002091,3160,2578
E02002092,3058,2058
E02002093,2836,1943
E02002094,2380,2106
E02002095,3613,2726
E02002096,4165,3211
E02002097,2860,2142
E02002098,3808,3007
E02002099,2687,2260
E02002101,2645,2055
E02002102,3474,2756
E02002103,2575,2185
E02002104,2399,2139
E02002105,3101,2683
E02002106,3888,3266
E02002107,2269,1941
E02002108,3867,3386
E02002109,3874,2984
E02002905,2650,1973
E02002906,2497,1596
E02002907,2687,1589
E02002908,3635,2681
E02002909,4444,3090
E02002911,3790,2577
E02002912,2763,2139
E02002913,2399,1811
E02002914,4010,2697
E02002915,2832,2180
E02002916,4424,1980
E02002917,3032,2119
E02002918,2422,2063
E02002919,3855,2114
E02002920,2741,2034
E02002921,3176,1331
E02002922,2601,1912
E02002923,4315,2880
E02002925,4433,3122
E02002926,4784,3183
E02002927,4836,3699
E02003212,3607,2622
E02004600,2451,1799
E02004601,2341,2017
E02004602,2771,1488
E02004603,2958,1208
E02004604,3437,1367
E02004605,2443,1273
E02004606,4147,2463
E02004607,4794,2575
E02004608,5072,2200
E02004609,3125,2512
E02004610,3618,2613
E02004611,4586,3703
E02004612,4155,3391
E02004613,2755,2328
E02004614,2276,1942
E02004615,3589,2512
E02004616,4055,2590
E02004617,3428,2339
E02004618,2990,1984
E02004619,3171,2019
E02004620,3149,2353
E02004621,3103,1568
E02004622,2798,1645
E02004623,3451,2478
E02004624,2488,1707
E02004625,4014,2608
E02004626,3645,2931
E02004627,2302,1605
E02004628,3201,2444
E02004629,5333,3666
E02004630,2605,2065
E02004631,2130,1797
E02004632,4362,3011
E02004633,3423,2626
E02004634,4263,3021
E02004635,2903,2205
E02004636,3272,2858
E02004637,3965,2142
E02004638,2285,1936
E02004639,3935,1613
E02004640,2987,1564
E02004641,3260,2766
E02004642,4580,3434
E02004643,3000,1541
E02004644,3547,2218
E02004645,3941,3274
E02004646,3782,2077
E02004647,2423,1616
E02004648,2549,2094
E02004649,2812,2115
E02004650,4025,2610
E02004651,3173,2398
E02004652,2828,2247
E02004653,2569,1981
E02004654,4731,3305
E02004655,3193,2143
E02004656,4967,3117
E02004657,2860,2379
E02004658,2681,2218
E02004659,2640,2034
E02004660,2760,2189
E02004661,3573,2688
E02004662,2540,1814
E02004663,2827,1936
E02004664,2909,1887
E02004665,3543,2652
E02004666,4600,3348
E02004667,4819,3057
E02004668,3684,2671
E02004669,2731,2244
E02004670,5574,4278
E02004671,2480,1989
E02004672,5251,3890
E02004673,2351,1755
E02004674,3636,2612
E02005929,2814,2199
E02005984,2812,2220
E02005986,3822,2463
E02005993,2815,1875
E02005994,2445,1705
E02005995,2511,1824
E02005997,2419,1854
E02005999,2510,2021
E02006000,4790,3477
E02006001,2251,1442
E02006002,4380,2781
E02006004,2446,1660
E02006005,3564,2009
E02006006,2321,1452
E02006007,2727,2062
E02006014,3832,2721
E02006043,2946,1817
E02006045,5173,3349
E02006046,3694,2764
E02006187,3074,2432
E02006487,2985,1834
E02006488,2794,2322
E02006489,3341,2265
E02006490,3074,2381
E02006495,3195,2616
E02006504,2287,1858
E02006505,3044,2330
E02006506,2513,1786
E02006508,3920,2998
E02006509,2752,1733
E02006510,2606,2172
E02006511,3815,2796
E02006512,5000,2912
E02006513,3168,2424
E02006514,4226,2840
E02006515,3769,2833
E02006516,3740,2624
E02006517,3088,2242
E02006518,4241,2996
E02006519,3487,2654
E02006520,3658,2939
E02006521,3236,2640
E02006522,2327,1821
E02006523,4228,3297
E02006524,2442,1303
E02006525,5845,3475
E02006526,3630,2592
