areacd,total,value
E02000001,4385,1855
E02000002,2713,1259
E02000003,3834,2501
E02000004,2318,1687
E02000005,3183,1857
E02000007,3441,1379
E02000008,4591,2099
E02000009,3212,1475
E02000010,3292,1491
E02000011,2289,1521
E02000012,3258,2254
E02000013,3125,1439
E02000014,3531,1548
E02000015,3170,980
E02000016,2934,663
E02000017,2729,1552
E02000018,3326,1291
E02000019,3010,1393
E02000020,3460,1482
E02000021,2949,1592
E02000022,3261,482
E02000023,2431,717
E02000024,4110,3041
E02000025,3622,2272
E02000026,2496,1898
E02000027,3705,1951
E02000028,2473,1773
E02000029,3513,2233
E02000030,3410,2649
E02000031,2817,1899
E02000032,2742,2353
E02000033,3317,2216
E02000034,3403,2189
E02000035,3381,1880
E02000036,3942,2571
E02000037,3397,2220
E02000038,4049,2570
E02000039,2485,1811
E02000040,2649,1494
E02000041,3120,1886
E02000042,4421,2346
E02000043,2693,1912
E02000044,2862,1347
E02000045,4168,2093
E02000046,2860,1438
E02000047,4036,1645
E02000048,3784,2595
E02000049,3028,587
E02000050,3853,1950
E02000051,3537,2077
E02000052,4163,2151
E02000053,3244,1399
E02000054,2774,1498
E02000055,4179,1914
E02000056,3390,2370
E02000057,2460,1351
E02000058,3961,2462
E02000059,3990,1813
E02000060,3400,1675
E02000061,3172,1609
E02000062,2357,855
E02000063,2503,1339
E02000064,2450,1018
E02000065,2728,1394
E02000066,3795,1360
E02000067,3580,2069
E02000068,3041,1433
E02000069,2495,1766
E02000070,3177,2591
E02000071,2782,2138
E02000072,4722,1928
E02000073,3968,3542
E02000074,3185,1652
E02000075,3172,2796
E02000077,2870,2320
E02000078,3036,2632
E02000079,3267,2558
E02000080,3702,2999
E02000081,3106,2375
E02000082,3356,3014
E02000083,3985,2808
E02000084,4209,3625
E02000085,3084,2621
E02000086,2789,2506
E02000087,3142,2666
E02000088,2984,2650
E02000089,2899,2553
E02000090,3962,2809
E02000091,4279,2964
E02000092,2722,1499
E02000093,3408,2176
E02000094,2738,1599
E02000095,3117,1868
E02000096,2518,1898
E02000097,2926,1845
E02000098,2652,1425
E02000099,2782,1442
E02000100,2696,1768
E02000101,3312,1240
E02000102,2496,1142
E02000103,2994,1418
E02000104,2213,1286
E02000105,2997,1479
E02000106,3449,1450
E02000107,4107,1475
E02000108,2147,1176
E02000109,3264,1536
E02000110,2969,1357
E02000111,2914,1479
E02000112,2892,1503
E02000113,3306,736
E02000114,3528,1081
E02000115,3911,1249
E02000116,3072,679
E02000117,4557,1020
E02000118,2849,1484
E02000119,2597,335
E02000120,4277,1436
E02000121,2623,1393
E02000122,3047,1659
E02000123,5884,1415
E02000124,4334,1776
E02000125,4329,2094
E02000126,3381,405
E02000127,3675,1894
E02000128,3006,2222
E02000130,3464,2040
E02000131,4589,1775
E02000132,4668,2481
E02000133,3961,3360
E02000134,5106,2932
E02000135,4402,1115
E02000136,2207,1600
E02000137,3637,2645
E02000138,4057,2931
E02000139,3202,2147
E02000140,3301,1517
E02000141,3055,1973
