areacd,total,value
E00001663,125,116
E00001667,133,124
E00001680,135,94
E00001681,130,116
E00001682,130,105
E00001683,127,107
E00001684,91,11
E00002081,99,50
E00002090,90,86
E00002091,102,98
E00002093,112,108
E00002094,137,131
E00002095,136,131
E00002097,119,113
E00002099,140,129
E00002100,131,116
E00002103,143,100
E00002106,119,96
E00003116,127,114
E00003117,129,119
E00003118,208,119
E00003119,136,93
E00003120,118,106
E00003122,116,107
E00003123,143,121
E00003126,114,103
E00003127,97,38
E00003128,145,131
E00003129,146,132
E00003130,124,111
E00003131,132,126
E00003132,131,83
E00003133,130,122
E00003134,145,124
E00003135,125,103
E00003136,108,87
E00003137,119,64
E00003138,116,92
E00003139,132,109
E00003140,138,108
E00003141,135,119
E00003142,138,102
E00003143,135,120
E00003144,130,94
E00003145,132,118
E00003232,201,108
E00003233,109,103
E00003234,97,89
E00003235,141,128
E00003236,113,52
E00003241,91,77
E00003242,197,130
E00003243,236,190
E00003244,100,90
E00003245,128,49
E00003246,152,90
E00003247,147,28
E00003248,107,85
E00003249,176,97
E00003250,162,84
E00003251,165,118
E00003253,112,83
E00003254,166,64
E00003255,126,38
E00003256,127,60
E00003257,144,87
E00003258,120,94
E00003259,101,86
E00003260,88,43
E00003261,125,75
E00003262,87,82
E00003263,138,117
E00003264,103,56
E00003265,146,116
E00003266,159,90
E00003281,126,109
E00003282,154,112
E00003284,130,48
E00003329,138,104
E00003330,139,107
E00003333,137,131
E00003334,119,60
E00003335,127,108
E00003336,138,125
E00003337,110,97
E00003338,127,86
E00003339,143,122
E00003340,136,96
E00003341,137,97
E00003342,119,111
E00003343,114,87
E00003346,131,85
E00003347,121,61
E00003348,116,48
E00003349,126,98
E00003350,118,98
E00003351,129,118
E00003352,121,110
E00003354,132,115
E00003355,110,103
E00003356,135,61
E00003357,138,113
E00003358,117,100
E00003359,133,68
E00003360,130,95
E00003361,127,98
E00003362,141,129
E00003363,117,81
E00003364,129,99
E00003365,112,108
E00003366,111,102
E00003367,125,120
E00003368,162,154
E00003369,137,103
E00003370,120,91
E00003371,131,109
E00003372,118,86
E00003373,139,128
E00003374,135,105
E00003375,127,101
E00003376,122,113
E00003805,112,102
E00003806,113,56
E00003807,119,65
E00003808,136,120
E00003809,121,41
E00003810,122,52
E00003811,120,64
E00003812,123,73
E00003813,137,107
E00003814,98,84
E00003815,117,69
E00003816,111,48
E00003817,106,30
E00003818,127,57
E00003819,135,99
E00003820,124,31
E00003821,127,63
E00003822,120,51
E00003823,119,44
E00003824,119,68
E00003825,152,24
E00003826,123,50
E00003827,126,63
E00003828,123,50
E00003829,127,69
E00003830,139,61
E00003831,137,77
E00003832,127,58
E00003833,132,57
E00003834,108,98
E00003835,99,73
E00003836,122,92
E00003837,117,83
E00003838,117,93
E00003839,102,84
E00003991,146,42
E00003992,132,54
E00003993,90,65
E00003994,148,132
E00003995,125,111
E00003996,97,68
E00003997,149,87
E00003998,207,112
E00003999,150,96
E00004000,132,88
E00004001,151,99
E00004002,157,104
E00004003,144,115
E00004004,118,52
E00004005,172,77
E00004006,110,98
E00004007,120,102
E00004008,103,95
E00004009,114,102
E00004010,107,79
E00004011,117,110
E00004012,130,65
E00004013,115,106
E00004014,123,94
E00004015,85,6
E00004016,110,44
E00004017,189,106
E00004018,107,98
E00004020,117,52
E00004022,113,84
E00004023,104,94
E00004024,106,90
E00004025,101,53
E00004026,100,80
E00004027,108,51
E00004028,105,36
E00004029,139,105
E00004030,128,70
E00004031,140,103
E00004032,149,58
E00004033,136,97
E00004034,150,93
E00004035,121,98
E00004036,107,37
E00004037,129,113
E00004038,180,96
E00004039,149,95
E00004040,132,91
E00004041,149,93
E00004042,131,87
E00004043,139,85
E00004052,135,130
E00004053,160,108
E00004070,130,87
E00004071,130,116
E00004074,134,118
E00007932,126,48
E00007933,139,54
E00007934,97,55
E00007935,118,101
E00007936,119,86
E00007937,118,97
E00007938,113,61
E00007939,149,86
E00007940,121,76
E00007941,122,103
E00007942,139,123
E00007943,112,68
E00007944,142,90
E00007945,125,71
E00007946,130,117
E00007947,132,116
E00007948,118,108
E00007949,131,81
E00007950,137,80
E00007951,121,76
E00007952,109,63
E00007953,113,43
E00007954,136,88
E00007955,114,75
E00007956,115,60
E00007957,119,107
E00007958,120,51
E00007959,124,111
E00007960,118,61
E00007961,125,115
E00007962,112,106
E00007963,130,118
E00007964,106,90
E00007965,153,13
E00007966,113,103
E00007967,118,115
E00007968,128,40
E00007969,122,76
E00007970,120,56
E00007971,115,52
E00007972,126,43
E00007973,130,103
E00007974,131,21
E00007987,114,102
E00007988,119,28
E00007989,121,58
E00007990,134,77
E00007991,114,64
E00007992,117,73
E00008016,167,110
E00008017,128,40
E00008018,130,60
E00008019,138,56
E00008020,132,101
E00008021,165,116
E00008022,136,32
E00008023,145,25
E00008024,115,94
E00008025,95,66
E00008026,126,35
E00008027,128,36
E00008028,112,48
E00008030,135,114
E00008033,118,69
E00008035,121,85
E00008036,121,64
E00008037,131,88
E00008038,147,133
E00008039,126,91
E00008040,179,131
