areacd,total,value
E00000001,99,70
E00000003,112,92
E00000005,217,131
E00000007,83,30
E00000010,78,19
E00000012,137,37
E00000013,96,62
E00000014,132,40
E00000016,182,115
E00000017,142,96
E00000018,122,85
E00000019,85,47
E00000020,126,83
E00000021,173,101
E00000022,110,53
E00000023,90,34
E00000024,147,44
E00000025,219,63
E00000026,163,65
E00000027,227,80
E00000028,110,22
E00000029,127,18
E00000030,124,14
E00000031,77,13
E00000032,139,1
E00000035,150,46
E00000037,110,46
E00000038,116,64
E00000039,141,37
E00000040,67,16
E00000041,89,42
E00000042,144,20
E00000043,123,13
E00000045,102,37
E00000046,147,25
E00000048,145,17
E00000049,119,83
E00000050,140,29
E00000051,178,79
E00000052,157,42
E00000053,121,80
E00000054,117,69
E00000055,119,91
E00000056,113,29
E00000057,123,14
E00000059,112,39
E00000060,72,52
E00000061,105,23
E00000062,204,24
E00000063,82,42
E00000064,99,53
E00000065,191,55
E00000066,131,56
E00000067,133,60
E00000068,111,57
E00000069,131,18
E00000070,150,66
E00000071,115,51
E00000072,120,63
E00000073,116,46
E00000074,100,55
E00000075,129,64
E00000076,106,53
E00000077,130,63
E00000078,114,57
E00000079,130,73
E00000080,206,80
E00000081,121,56
E00000082,124,67
E00000083,117,50
E00000084,114,41
E00000085,114,51
E00000086,123,65
E00000087,77,30
E00000088,114,55
E00000089,127,57
E00000090,115,62
E00000091,203,58
E00000092,142,73
E00000093,144,46
E00000094,140,57
E00000095,198,75
E00000096,127,57
E00000097,124,68
E00000098,111,61
E00000099,71,17
E00000100,149,74
E00000101,113,75
E00000102,110,58
E00000103,139,37
E00000104,127,71
E00000106,120,66
E00000107,134,58
E00000108,118,64
E00000109,133,78
E00000110,117,43
E00000111,152,83
E00000112,118,53
E00000113,133,84
E00000114,111,63
E00000115,126,69
E00000116,116,62
E00000117,108,11
E00000118,112,66
E00000119,121,48
E00000120,118,62
E00000121,134,55
E00000122,117,66
E00000123,137,55
E00000124,123,50
E00000125,143,52
E00000126,133,50
E00000127,224,102
E00000128,101,52
E00000129,138,53
E00000130,132,58
E00000131,118,63
E00000132,128,52
E00000133,119,55
E00000134,126,79
E00000135,109,63
E00000136,118,97
E00000137,143,56
E00000138,119,60
E00000139,134,60
E00000140,137,94
E00000141,141,9
E00000142,157,30
E00000143,111,76
E00000144,111,103
E00000145,117,95
E00000146,96,80
E00000147,113,99
E00000148,101,95
E00000149,117,85
E00000150,121,74
E00000151,143,98
E00000152,124,114
E00000153,131,104
E00000154,128,73
E00000155,142,80
E00000156,136,82
E00000157,116,64
E00000158,146,56
E00000159,120,45
E00000160,124,28
E00000161,120,35
E00000162,111,42
E00000163,111,21
E00000164,148,26
E00000165,107,55
E00000166,90,28
E00000167,103,81
E00000168,149,87
E00000169,129,41
E00000170,134,72
E00000171,134,62
E00000172,156,86
E00000173,139,79
E00000174,127,102
E00000175,121,60
E00000176,120,102
E00000177,84,33
E00000178,132,96
E00000179,110,83
E00000180,100,82
E00000181,121,111
E00000182,110,86
E00000183,116,93
E00000184,117,112
E00000185,99,93
E00000186,126,110
E00000187,117,47
E00000188,108,83
E00000189,113,100
E00000190,103,62
E00000191,129,104
E00000192,130,105
E00000193,130,85
E00000194,135,119
E00000195,132,63
E00000196,144,89
E00000197,120,91
E00000198,99,7
E00000199,153,48
E00000200,126,57
E00000201,119,63
E00000202,130,62
E00000203,128,73
E00000204,123,55
E00000205,141,39
E00000206,128,34
E00000207,105,44
E00000208,145,76
E00000209,118,67
E00000210,127,48
E00000211,129,43
E00000212,154,18
E00000213,143,44
E00000214,127,71
E00000215,104,45
E00000216,118,45
E00000217,114,48
E00000218,114,61
E00000219,118,56
E00000220,104,58
E00000221,141,59
E00000222,143,80
E00000223,136,26
E00000224,121,56
E00000225,129,50
E00000226,110,44
E00000227,121,76
E00000228,133,86
E00000229,130,84
E00000230,114,63
E00000231,104,47
E00000232,122,51
E00000234,151,65
E00000235,121,15
E00000236,116,57
E00000237,156,57
E00000238,120,10
E00000239,141,7
E00000240,156,30
E00000241,132,11
E00000242,107,21
E00000243,153,17
E00000244,133,31
E00000245,121,20
E00000246,109,53
E00000247,121,69
E00000248,131,13
E00000249,140,29
E00000250,161,30
E00000251,162,6
E00000252,127,84
E00000253,136,35
E00000254,124,4
E00000255,125,69
E00000256,147,17
E00000257,133,54
E00000258,124,7
E00000259,105,61
E00000260,112,30
E00000261,105,47
E00000263,215,31
E00000264,126,7
E00000265,133,46
E00000266,128,64
E00000267,110,65
E00000268,136,59
E00000269,135,70
E00000270,124,60
E00000271,111,52
E00000272,132,78
